,index,epoch,train_loss,val_loss,v_accuracy,v_precision,v_recall,v_f1,params,model_num
41,1,1,5.685909854946658e-05,8.94967019557953e-06,0.972599983215332,0.972599983215332,0.972599983215332,0.972599983215332,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
42,2,2,2.2725263988832012e-05,6.6596992313861846e-06,0.9804999828338623,0.9804999828338623,0.9804999828338623,0.9804999828338623,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
43,3,3,0.00013380267773754895,6.6728897392749785e-06,0.9783999919891357,0.9783999919891357,0.9783999919891357,0.9783999919891357,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
44,4,4,3.13405180349946e-05,5.573428794741631e-06,0.983199954032898,0.9832000136375427,0.9832000136375427,0.9832000136375427,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
45,5,5,1.677077125350479e-05,5.194725468754768e-06,0.9830999970436096,0.9830999970436096,0.9830999970436096,0.9830999970436096,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
46,6,6,4.560808065434685e-06,4.369744285941124e-06,0.9863999485969543,0.9864000082015991,0.9864000082015991,0.9864000082015991,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
47,7,7,5.4550753702642396e-05,5.267176404595375e-06,0.9824999570846558,0.9825000166893005,0.9825000166893005,0.9825000166893005,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
48,8,8,1.720770524116233e-05,4.5010905712842945e-06,0.9846999645233154,0.9847000241279602,0.9847000241279602,0.9847000241279602,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
49,9,9,5.564425009652041e-07,5.008220672607422e-06,0.9845999479293823,0.9846000075340271,0.9846000075340271,0.9846000075340271,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
50,10,10,1.5381208413600689e-06,4.679900035262108e-06,0.9858999848365784,0.9858999848365784,0.9858999848365784,0.9858999848365784,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
51,11,11,5.895503818464931e-06,4.581606015563012e-06,0.9857999682426453,0.98580002784729,0.98580002784729,0.98580002784729,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
52,12,12,9.184207101498032e-07,5.201778560876846e-06,0.9837999939918518,0.9837999939918518,0.9837999939918518,0.9837999939918518,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
53,13,13,1.3416150977718644e-05,4.5080814510583875e-06,0.9878000020980835,0.9878000020980835,0.9878000020980835,0.9878000020980835,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
54,14,14,4.4252962538848806e-07,4.43863607943058e-06,0.9857999682426453,0.98580002784729,0.98580002784729,0.98580002784729,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
