,accuracy,precision,recall,f1,roc_auc,C,penalty,solver
207,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,elasticnet,newton-cholesky
208,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,elasticnet,sag
209,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,elasticnet,saga
211,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,,liblinear
222,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,l1,lbfgs
224,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,l1,newton-cg
225,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,l1,newton-cholesky
226,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,l1,sag
228,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,elasticnet,lbfgs
229,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,elasticnet,liblinear
230,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,elasticnet,newton-cg
231,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,elasticnet,newton-cholesky
232,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,elasticnet,sag
233,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,elasticnet,saga
235,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,,liblinear
246,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,l1,lbfgs
248,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,l1,newton-cg
249,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,l1,newton-cholesky
250,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,l1,sag
252,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,elasticnet,lbfgs
253,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,elasticnet,liblinear
254,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,elasticnet,newton-cg
255,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,elasticnet,newton-cholesky
256,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,elasticnet,sag
257,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,elasticnet,saga
259,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,,liblinear
270,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,l1,lbfgs
272,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,l1,newton-cg
273,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,l1,newton-cholesky
274,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,l1,sag
276,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,elasticnet,lbfgs
277,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,elasticnet,liblinear
278,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,elasticnet,newton-cg
279,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,elasticnet,newton-cholesky
280,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,elasticnet,sag
281,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,elasticnet,saga
283,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,,liblinear
7,0.6368618618618619,0.0,0.0,0.0,0.5,1e-05,l1,liblinear
11,0.6368618618618619,0.0,0.0,0.0,0.5,1e-05,l1,saga
31,0.6368618618618619,0.0,0.0,0.0,0.5,0.0001,l1,liblinear
35,0.6368618618618619,0.0,0.0,0.0,0.5,0.0001,l1,saga
55,0.6368618618618619,0.0,0.0,0.0,0.5,0.001,l1,liblinear
59,0.6368618618618619,0.0,0.0,0.0,0.5,0.001,l1,saga
79,0.6368618618618619,0.0,0.0,0.0,0.5,0.01,l1,liblinear
83,0.6368618618618619,0.0,0.0,0.0,0.5,0.01,l1,saga
0,0.6368618618618619,0.0,0.0,0.0,0.7456422200987418,1e-05,l2,lbfgs
2,0.6368618618618619,0.0,0.0,0.0,0.7456422200987418,1e-05,l2,newton-cg
3,0.6368618618618619,0.0,0.0,0.0,0.7456422200987418,1e-05,l2,newton-cholesky
4,0.6368618618618619,0.0,0.0,0.0,0.7456422200987418,1e-05,l2,sag
5,0.6368618618618619,0.0,0.0,0.0,0.7456422200987418,1e-05,l2,saga
24,0.6368618618618619,0.0,0.0,0.0,0.7462732919254658,0.0001,l2,lbfgs
26,0.6368618618618619,0.0,0.0,0.0,0.7462732919254658,0.0001,l2,newton-cg
27,0.6368618618618619,0.0,0.0,0.0,0.7462732919254658,0.0001,l2,newton-cholesky
28,0.6368618618618619,0.0,0.0,0.0,0.7462732919254658,0.0001,l2,sag
29,0.6368618618618619,0.0,0.0,0.0,0.7462732919254658,0.0001,l2,saga
48,0.6368618618618619,0.0,0.0,0.0,0.7477504379678293,0.001,l2,lbfgs
50,0.6368618618618619,0.0,0.0,0.0,0.7477504379678293,0.001,l2,newton-cg
51,0.6368618618618619,0.0,0.0,0.0,0.7477504379678293,0.001,l2,newton-cholesky
52,0.6368618618618619,0.0,0.0,0.0,0.7477504379678293,0.001,l2,sag
53,0.6368618618618619,0.0,0.0,0.0,0.7477504379678293,0.001,l2,saga
72,0.6991741741741742,0.7173809523809523,0.3137362637362637,0.4243105535675194,0.7644748367574454,0.01,l2,lbfgs
74,0.6991741741741742,0.7173809523809523,0.3137362637362637,0.4243105535675194,0.7644748367574454,0.01,l2,newton-cg
75,0.6991741741741742,0.7173809523809523,0.3137362637362637,0.4243105535675194,0.7644748367574454,0.01,l2,newton-cholesky
76,0.6991741741741742,0.7173809523809523,0.3137362637362637,0.4243105535675194,0.7644748367574454,0.01,l2,sag
77,0.6991741741741742,0.7173809523809523,0.3137362637362637,0.4243105535675194,0.7644748367574454,0.01,l2,saga
103,0.7045795795795795,0.632762286732875,0.5076923076923077,0.5438340416258035,0.7638019589106546,0.1,l1,liblinear
49,0.7100600600600602,0.5999509803921568,0.6576923076923077,0.6217200219353594,0.7435140946010511,0.001,l2,liblinear
73,0.7127627627627627,0.623562271062271,0.5901098901098901,0.593747666567492,0.757700270743749,0.01,l2,liblinear
18,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1e-05,,lbfgs
20,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1e-05,,newton-cg
21,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1e-05,,newton-cholesky
22,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1e-05,,sag
23,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1e-05,,saga
42,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.0001,,lbfgs
44,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.0001,,newton-cg
45,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.0001,,newton-cholesky
46,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.0001,,sag
47,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.0001,,saga
66,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.001,,lbfgs
68,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.001,,newton-cg
69,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.001,,newton-cholesky
70,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.001,,sag
71,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.001,,saga
90,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.01,,lbfgs
92,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.01,,newton-cg
93,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.01,,newton-cholesky
94,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.01,,sag
95,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.01,,saga
114,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.1,,lbfgs
116,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.1,,newton-cg
117,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.1,,newton-cholesky
118,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.1,,sag
119,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,0.1,,saga
138,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1.0,,lbfgs
140,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1.0,,newton-cg
141,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1.0,,newton-cholesky
142,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1.0,,sag
143,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1.0,,saga
162,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10.0,,lbfgs
164,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10.0,,newton-cg
165,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10.0,,newton-cholesky
166,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10.0,,sag
167,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10.0,,saga
168,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,l2,lbfgs
169,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,l2,liblinear
