,accuracy,precision,recall,f1,roc_auc,C,degree,gamma,kernel
481,0.7383091787439614,1.0,0.2816176470588235,0.4292995169082125,0.9855440452042886,16.68100537200059,1,1e-05,poly
49,0.738792270531401,0.6700323614294204,0.5779411764705882,0.6146988024746646,0.7459413937988988,1e-05,8,0.4641588833612782,poly
526,0.738792270531401,0.6700323614294204,0.5779411764705882,0.6146988024746646,0.7459413937988988,16.68100537200059,8,0.0774263682681127,poly
466,0.7410628019323673,0.677809829059829,0.5606617647058824,0.6101346641863883,0.7933080991017096,2.782559402207126,8,0.0774263682681127,poly
169,0.7431884057971014,0.6519230769230768,0.6444852941176471,0.6442886010203454,0.7604679802955665,0.00035938136638046257,8,0.4641588833612782,poly
289,0.745072463768116,0.6589711385106122,0.6503676470588236,0.6493283774651962,0.7728937264560997,0.01291549665014884,8,0.4641588833612782,poly
229,0.7517874396135266,0.6612794086419407,0.674264705882353,0.6634097646775132,0.7722978846711098,0.0021544346900318843,8,0.4641588833612782,poly
52,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,1e-05,8,2.782559402207126,poly
55,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,1e-05,8,16.68100537200059,poly
58,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,1e-05,8,100.0,poly
112,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,5.994842503189409e-05,8,2.782559402207126,poly
115,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,5.994842503189409e-05,8,16.68100537200059,poly
118,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,5.994842503189409e-05,8,100.0,poly
172,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.00035938136638046257,8,2.782559402207126,poly
175,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.00035938136638046257,8,16.68100537200059,poly
178,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.00035938136638046257,8,100.0,poly
232,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.0021544346900318843,8,2.782559402207126,poly
235,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.0021544346900318843,8,16.68100537200059,poly
238,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.0021544346900318843,8,100.0,poly
292,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.01291549665014884,8,2.782559402207126,poly
295,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.01291549665014884,8,16.68100537200059,poly
298,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.01291549665014884,8,100.0,poly
349,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.0774263682681127,8,0.4641588833612782,poly
352,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.0774263682681127,8,2.782559402207126,poly
355,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.0774263682681127,8,16.68100537200059,poly
358,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.0774263682681127,8,100.0,poly
409,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.4641588833612782,8,0.4641588833612782,poly
412,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.4641588833612782,8,2.782559402207126,poly
415,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.4641588833612782,8,16.68100537200059,poly
418,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,0.4641588833612782,8,100.0,poly
469,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,2.782559402207126,8,0.4641588833612782,poly
472,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,2.782559402207126,8,2.782559402207126,poly
475,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,2.782559402207126,8,16.68100537200059,poly
478,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,2.782559402207126,8,100.0,poly
529,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,16.68100537200059,8,0.4641588833612782,poly
532,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,16.68100537200059,8,2.782559402207126,poly
535,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,16.68100537200059,8,16.68100537200059,poly
538,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,16.68100537200059,8,100.0,poly
589,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,100.0,8,0.4641588833612782,poly
592,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,100.0,8,2.782559402207126,poly
595,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,100.0,8,16.68100537200059,poly
598,0.753768115942029,0.6660816196748018,0.6738970588235293,0.6648779367647555,0.7804694291509706,100.0,8,100.0,poly
166,0.7559420289855072,0.965277777777778,0.3485294117647058,0.4879394664552828,0.8267241379310344,0.00035938136638046257,8,0.0774263682681127,poly
